t,x,y,z
2.480,-149,-175,-1008
2.500,-65,-226,-822
2.520,141,-161,-787
2.540,-93,-44,-672
2.560,-24,-59,-562
2.580,52,-176,-354
2.600,-182,-149,-288
2.620,-33,-95,-291
2.640,-70,-143,-576
2.660,-201,-39,-630
2.680,-107,-29,-859
2.700,-44,33,-838
2.720,-217,60,-985
2.740,-183,-54,-1227
2.760,-126,32,-1214
2.780,-120,15,-1239
2.800,-64,117,-1583
2.820,-201,83,-1398
2.840,-124,97,-1595
2.860,-20,175,-1770
2.880,137,89,-1458
2.900,-71,326,-1510
2.920,-7,-8,-1584
2.940,-239,7,-1547
2.960,-106,126,-1042
2.980,61,40,-1116
3.000,-81,72,-719
3.020,40,288,-699
3.040,-66,83,-577
3.060,145,170,-551
3.080,175,69,-441
3.100,121,262,-415
3.120,80,-9,-420
3.140,68,115,-388
3.160,240,-69,-728
3.180,249,-87,-725
3.200,155,-72,-787
3.220,300,-188,-791
3.240,231,-140,-1220
3.260,160,41,-1260
3.280,152,-124,-1375
3.300,86,-30,-1333
3.320,137,-97,-1594
3.340,14,-16,-1606
3.360,127,-36,-1457
3.380,181,-91,-1487
3.400,159,-125,-1485
3.420,58,-328,-1508
3.440,79,-22,-1290
3.460,112,-149,-1134
3.480,-141,-247,-1102
3.500,45,-170,-987
3.520,-30,-41,-654
3.540,-120,-167,-483
3.560,-234,-64,-547
3.580,-89,-171,-310
3.600,-337,-92,-292
3.620,-173,44,-396
3.640,-153,-89,-360
3.660,-187,-195,-576
3.680,-40,33,-509
3.700,61,170,-889
3.720,-240,-96,-906
3.740,-241,6,-1033
3.760,-298,229,-1112
3.780,-266,-95,-1196
3.800,-239,37,-1491
3.820,-150,261,-1801
3.840,-143,-53,-1701
3.860,-125,303,-1535
3.880,-125,176,-1550
3.900,-206,162,-1557
3.920,-39,177,-1428
3.940,5,319,-1340
3.960,155,125,-1260
3.980,243,166,-1077
4.000,101,-19,-714
4.020,-15,11,-699
4.040,65,198,-766
4.060,42,52,-454
4.080,33,18,-528
4.100,100,20,-422
4.120,40,95,-434
4.140,144,128,-406
4.160,98,92,-703
4.180,-17,62,-583
4.200,129,19,-658
4.220,174,77,-880
4.240,165,-88,-1068
4.260,273,-49,-1238
4.280,94,32,-1370
4.300,227,-158,-1548
4.320,147,-67,-1649
4.340,222,-137,-1560
4.360,12,17,-1555
4.380,142,-103,-1507
4.400,40,-81,-1585
4.420,68,-275,-1413
4.440,-32,-254,-1271
4.460,-167,-79,-1165
4.480,-5,-249,-915
4.500,-34,-391,-945
4.520,29,-176,-693
4.540,-37,-104,-639
4.560,-70,-200,-384
4.580,-70,34,-475
4.600,-208,-196,-433
4.620,-83,-232,-620
4.640,-324,-192,-580
4.660,-267,-239,-481
4.680,-177,-3,-630
4.700,-148,-158,-705
4.720,-100,-68,-937
4.740,-39,-32,-1219
4.760,-146,131,-1262
4.780,-176,115,-1326
4.800,3,131,-1248
4.820,249,-39,-1655
4.840,-186,258,-1627
4.860,-245,136,-1557
4.880,-120,-1,-1516
4.900,-116,134,-1579
4.920,18,44,-1463
4.940,-111,280,-1462
4.960,215,198,-1207
4.980,-83,174,-1116
5.000,256,50,-969
5.020,183,134,-643
5.040,28,176,-689
5.060,78,-9,-406
5.080,21,-97,-425
5.100,-41,168,-471
5.120,301,38,-216
5.140,196,187,-504
5.160,121,285,-580
5.180,94,58,-658
5.200,45,3,-721
5.220,122,197,-1041
5.240,140,-103,-1001
5.260,252,-84,-1252
5.280,5,-75,-1208
5.300,-65,55,-1288
5.320,118,-98,-1728
5.340,-200,-287,-1507
5.360,106,-199,-1655
5.380,-30,-161,-1593
5.400,97,-73,-1591
5.420,-10,-171,-1267
5.440,8,-150,-1284
5.460,56,-240,-1305
5.480,-159,-34,-1096
5.500,96,-122,-865
5.520,-146,-69,-881
5.540,-164,-157,-666
5.560,-173,-164,-511
5.580,-347,-71,-477
5.600,28,-224,-482
5.620,3,-254,-569
5.640,-67,-113,-521
5.660,-117,-83,-703
5.680,-84,257,-519
5.700,-150,-135,-944
5.720,-68,66,-809
5.740,-224,-194,-1153
5.760,-97,2,-1050
5.780,-68,144,-1259
5.800,-207,83,-1625
5.820,-31,-20,-1507
5.840,105,165,-1577
5.860,-105,186,-1512
5.880,-78,244,-1390
5.900,-13,222,-1594
5.920,55,72,-1486
5.940,-37,338,-1370
5.960,75,76,-1118
5.980,-118,93,-992
6.000,15,294,-767
6.020,18,273,-731
6.040,-97,270,-654
6.060,-144,136,-452
6.080,263,48,-470
6.100,12,4,-459
6.120,-28,-8,-481
6.140,-23,-76,-618
6.160,67,-59,-590
6.180,138,3,-600
6.200,307,52,-826
6.220,-109,-56,-877
6.240,107,28,-1292
6.260,199,-130,-1288
6.280,-13,-73,-1295
6.300,189,-77,-1420
6.320,85,-125,-1349
6.340,292,-133,-1865
6.360,235,14,-1716
6.380,-55,-79,-1560
6.400,-45,-27,-1569
6.420,112,-94,-1624
6.440,70,-351,-1084
6.460,25,-113,-1233
6.480,-196,-183,-902
6.500,136,37,-754
6.520,72,26,-750
6.540,17,-57,-469
6.560,-217,-33,-572
6.580,-91,-179,-464
6.600,-79,-212,-440
6.620,-91,-103,-404
6.640,-48,107,-531
6.660,-12,25,-598
6.680,-219,-110,-913
6.700,-128,19,-701
6.720,-240,-84,-861
6.740,-167,-2,-1197
6.760,-220,119,-1204
6.780,12,117,-1261
6.800,-68,125,-1444
6.820,2,252,-1608
6.840,-112,128,-1392
6.860,-103,171,-1557
6.880,-108,297,-1583
6.900,-66,220,-1490
6.920,-26,133,-1396
6.940,-40,32,-1411
6.960,-137,240,-1128
6.980,28,140,-925
7.000,-178,39,-809
7.020,72,137,-726
7.040,69,94,-690
7.060,105,110,-600
7.080,155,195,-310
7.100,18,16,-369
7.120,403,-12,-558
7.140,91,52,-478
7.160,-51,-36,-596
7.180,130,-22,-786
7.200,169,-30,-848
7.220,111,32,-832
7.240,215,-50,-1208
7.260,180,-45,-1180
7.280,104,88,-1331
7.300,184,-182,-1369
7.320,60,-105,-1653
7.340,26,22,-1545
7.360,-99,-157,-1598
7.380,13,-176,-1829
7.400,40,-171,-1568
7.420,205,-18,-1470
7.440,163,-307,-1403
7.460,171,-373,-1231
7.480,-125,-164,-943
7.500,151,-230,-869
7.520,25,-170,-718
7.540,-61,-130,-671
7.560,-167,-176,-405
7.580,-105,-140,-397
7.600,-172,-189,-403
7.620,-225,21,-367
7.640,-254,-52,-435
7.660,-60,52,-521
7.680,-213,-107,-684
7.700,-222,0,-877
7.720,-199,-83,-923
7.740,-200,-95,-1040
7.760,-174,-79,-1236
7.780,-58,50,-1270
7.800,-83,61,-1449
7.820,39,88,-1454
7.840,-28,62,-1545
7.860,-12,-48,-1712
7.880,-1,140,-1392
7.900,103,37,-1501
7.920,-115,113,-1527
7.940,-22,159,-1390
7.960,142,10,-1231
7.980,38,129,-1128
8.000,-43,45,-809
8.020,-31,198,-776
8.040,131,198,-637
8.060,162,210,-389
8.080,36,95,-352
8.100,132,42,-584
8.120,168,-40,-370
8.140,92,29,-558
8.160,20,69,-521
8.180,-73,118,-816
8.200,91,-114,-910
8.220,110,-32,-1066
8.240,195,-36,-977
8.260,259,13,-1145
8.280,245,130,-1393
8.300,313,29,-1396
8.320,18,-192,-1458
8.340,-51,-155,-1594
8.360,36,-56,-1512
8.380,39,-19,-1706
8.400,101,39,-1486
8.420,-32,-8,-1281
8.440,36,-144,-1351
8.460,-94,-104,-1042
8.480,81,-171,-948
8.500,-90,-34,-750
8.520,-177,-104,-676
8.540,-91,-213,-571
8.560,-216,38,-517
8.580,-154,-7,-542
8.600,-31,42,-343
8.620,-220,-11,-442
8.640,-159,-207,-377
8.660,-78,-201,-414
8.680,-287,-95,-569
8.700,-211,-111,-891
8.720,-77,20,-986
8.740,-40,-28,-1012
8.760,-94,199,-1213
8.780,-5,148,-1263
8.800,-314,152,-1357
8.820,-121,28,-1522
8.840,-74,180,-1632
8.860,-81,53,-1749
8.880,-49,88,-1666
8.900,-149,160,-1573
8.920,-164,55,-1412
8.940,3,40,-1307
8.960,-101,422,-1100
8.980,-79,169,-1094
9.000,102,329,-941
9.020,55,94,-750
9.040,198,229,-589
9.060,227,248,-584
9.080,22,128,-381
9.100,149,78,-481
9.120,208,115,-634
9.140,113,99,-349
9.160,175,93,-426
9.180,126,63,-326
9.200,67,-76,-606
9.220,203,72,-1068
9.240,14,91,-1001
9.260,138,-25,-1101
9.280,179,18,-1285
9.300,118,-185,-1571
9.320,180,-90,-1480
9.340,-40,-10,-1560
9.360,116,2,-1646
9.380,208,-109,-1646
9.400,128,-256,-1504
9.420,61,-36,-1351
9.440,1,-108,-1311
9.460,-99,-168,-1155
9.480,-9,-237,-873
9.500,-204,-361,-779
9.520,-19,-123,-711
9.540,-70,-279,-679
9.560,-234,-146,-471
9.580,-264,-174,-403
9.600,52,-260,-322
9.620,-239,-230,-377
9.640,-60,-161,-297
9.660,-72,-46,-516
9.680,-82,-346,-423
9.700,-221,-49,-808
9.720,-215,-118,-923
9.740,-90,-58,-939
9.760,-80,155,-1153
9.780,-65,-14,-1458
9.800,-155,-163,-1347
9.820,-305,59,-1539
9.840,-156,-53,-1595
9.860,-187,85,-1710
9.880,-17,74,-1442
9.900,-209,200,-1379
9.920,-32,203,-1428
9.940,43,144,-1357
9.960,-49,276,-908
9.980,-117,286,-935
10.000,-204,234,-957
10.020,43,119,-604
10.040,126,74,-431
10.060,-52,76,-420
10.080,-132,4,-534
10.100,-7,54,-279
10.120,202,96,-527
10.140,116,-37,-408
10.160,219,58,-635
10.180,-174,157,-570
10.200,365,-23,-829
10.220,216,-78,-922
10.240,85,119,-988
10.260,197,-101,-1142
10.280,173,-250,-1374
10.300,230,-191,-1517
10.320,64,-48,-1415
10.340,164,-49,-1704
10.360,238,16,-1485
10.380,-34,11,-1550
10.400,28,-58,-1637
10.420,215,-140,-1366
10.440,10,-128,-1458
10.460,160,-174,-1184
10.480,47,-265,-1144
10.500,8,-289,-681
10.520,200,-346,-603
10.540,-7,-122,-499
10.560,-23,-201,-459
10.580,-223,75,-288
10.600,-221,-110,-248
10.620,-165,-112,-269
10.640,-10,-141,-497
10.660,-82,-85,-539
10.680,-277,-198,-734
10.700,-319,-101,-897
10.720,-144,-92,-895
10.740,-249,-129,-1177
10.760,-76,-112,-1344
10.780,-204,289,-1351
10.800,-116,30,-1642
10.820,-95,96,-1620
10.840,-73,135,-1696
10.860,-164,256,-1468
10.880,-286,174,-1590
10.900,-160,225,-1515
10.920,46,131,-1458
10.940,31,193,-1214
10.960,73,151,-1252
10.980,48,225,-800
11.000,-22,158,-927
11.020,-80,134,-828
11.040,75,251,-597
11.060,140,117,-533
11.080,114,-85,-449
11.100,39,16,-395
11.120,71,-92,-599
11.140,103,-88,-370
11.160,211,4,-605
11.180,106,34,-675
11.200,143,-28,-949
11.220,128,-36,-629
11.240,134,16,-976
11.260,303,-91,-1308
11.280,256,-77,-1315
11.300,194,4,-1462
11.320,145,-175,-1652
11.340,51,26,-1664
11.360,363,-115,-1439
11.380,-9,39,-1655
11.400,41,-188,-1660
11.420,-46,-29,-1236
11.440,21,-99,-1158
11.460,10,-170,-1303
11.480,42,-114,-1258
11.500,-160,-224,-1020
11.520,-68,-241,-764
11.540,-25,-187,-690
11.560,-95,-86,-504
11.580,-2,-111,-445
11.600,22,-255,-312
11.620,63,-193,-318
11.640,-162,-36,-460
11.660,-203,67,-486
11.680,-156,56,-733
11.700,-199,50,-584
11.720,-308,-105,-903
11.740,-200,-32,-1196
11.760,-20,70,-1218
11.780,-167,125,-1087
11.800,15,26,-1421
11.820,36,8,-1458
11.840,-65,52,-1597
11.860,81,86,-1686
11.880,-139,101,-1397
11.900,-93,42,-1427
11.920,-28,73,-1483
11.940,-263,89,-1280
11.960,-70,49,-1167
11.980,7,299,-1088
12.000,-9,247,-991
12.020,28,100,-678
12.040,45,-79,-588
12.060,-123,261,-565
12.080,9,202,-347
12.100,40,239,-156
12.120,92,-15,-374
12.140,87,-151,-513
12.160,104,110,-485
12.180,442,-119,-689
12.200,218,264,-872
12.220,333,-82,-1024
12.240,157,214,-946
12.260,83,265,-1043
12.280,111,134,-1465
12.300,72,-51,-1536
12.320,165,-155,-1498
12.340,179,55,-1570
12.360,-23,-107,-1566
12.380,220,-289,-1633
12.400,-34,-4,-1451
12.420,77,-89,-1334
12.440,105,-150,-1323
12.460,25,-397,-1076
12.480,152,-5,-1051
12.500,-31,-182,-840
12.520,21,-243,-648
12.540,68,-235,-523
12.560,-26,-59,-512
12.580,-141,-168,-471
12.600,-60,-111,-363
12.620,-225,-32,-547
12.640,-104,-116,-579
12.660,-133,104,-598
12.680,-172,-194,-618
12.700,-34,33,-728
12.720,-102,-140,-808
12.740,-97,82,-1080
12.760,-154,65,-1270
12.780,-42,111,-1226
12.800,-238,-46,-1423
12.820,-22,120,-1552
12.840,-266,-51,-1533
12.860,-106,-22,-1487
12.880,-62,416,-1482
12.900,-38,116,-1382
12.920,-65,-4,-1387
12.940,-10,-130,-1196
12.960,-102,247,-1213
12.980,149,-9,-1004
13.000,126,83,-958
13.020,-15,69,-817
13.040,167,-19,-535
13.060,74,140,-522
13.080,100,63,-346
13.100,-80,72,-512
13.120,208,58,-409
13.140,119,32,-225
13.160,39,85,-500
13.180,210,53,-854
13.200,163,-99,-758
13.220,306,59,-1015
13.240,192,31,-1135
13.260,258,13,-1025
13.280,321,-57,-1398
13.300,14,-150,-1549
13.320,203,11,-1579
13.340,131,-12,-1474
13.360,194,51,-1373
13.380,14,-196,-1722
13.400,80,8,-1774
13.420,75,-225,-1464
13.440,66,-265,-1338
13.460,-173,-117,-1032
13.480,149,-74,-1049
13.500,-261,-249,-1059
13.520,-56,-142,-761
13.540,-192,-320,-522
13.560,-108,-142,-468
13.580,-105,27,-494
13.600,-225,-45,-564
13.620,-136,-222,-254
13.640,-101,-205,-657
13.660,98,-41,-320
13.680,-154,68,-599
13.700,-141,108,-779
13.720,63,-173,-862
13.740,-240,94,-1131
13.760,-87,-89,-1270
13.780,87,210,-1362
13.800,-99,147,-1650
13.820,-237,147,-1592
13.840,-60,80,-1579
13.860,-194,60,-1366
13.880,-15,-17,-1519
13.900,-218,132,-1377
13.920,-126,253,-1441
13.940,-110,55,-1524
13.960,136,226,-1062
13.980,-222,166,-860
14.000,-19,173,-989
14.020,175,-53,-701
14.040,-93,-24,-673
14.060,91,287,-393
14.080,95,24,-311
14.100,34,-11,-302
14.120,128,222,-526
14.140,249,90,-452
14.160,408,246,-580
14.180,59,-115,-628
14.200,122,75,-739
14.220,193,124,-892
14.240,77,-86,-1044
14.260,40,44,-1163
14.280,138,-124,-1281
14.300,23,-226,-1640
14.320,82,-172,-1540
14.340,129,-91,-1502
14.360,206,-270,-1543
14.380,-93,-201,-1500
14.400,141,-65,-1405
14.420,197,-294,-1393
14.440,42,58,-1320
14.460,123,-225,-1047
14.480,47,-251,-775
14.500,-161,-236,-616
14.520,-135,-93,-734
14.540,-44,50,-562
14.560,64,-214,-657
14.580,102,109,-283
14.600,-219,-77,-420
14.620,-292,-22,-416
14.640,18,16,-549
14.660,-132,-88,-566
14.680,167,-140,-693
14.700,-48,-67,-774
14.720,-283,110,-988
14.740,-103,-141,-1004
14.760,-119,-6,-1171
14.780,-148,-41,-1490
14.800,-129,30,-1454
14.820,-133,133,-1455
14.840,-15,-1,-1548
14.860,-10,125,-1633
14.880,-14,77,-1458
14.900,-98,227,-1419
14.920,54,368,-1225
14.940,-92,119,-1444
14.960,18,112,-1189
14.980,98,191,-889
15.000,74,216,-952
15.020,40,285,-676
15.040,19,206,-644
15.060,158,103,-440
15.080,-36,78,-561
15.100,182,-72,-322
15.120,107,-9,-357
15.140,153,163,-238
15.160,78,24,-281
15.180,12,54,-498
15.200,244,69,-775
15.220,247,94,-1016
15.240,81,-62,-1180
15.260,254,-60,-1336
15.280,39,-86,-1380
15.300,211,-226,-1314
15.320,190,-130,-1642
15.340,30,-229,-1645
15.360,65,5,-1589
15.380,-8,-52,-1577
15.400,-1,-302,-1372
15.420,-80,25,-1459
15.440,5,2,-1428
15.460,-33,-227,-1062
15.480,-24,0,-1018
15.500,-154,-50,-866
15.520,-60,-68,-607
15.540,-176,-148,-584
15.560,-136,-225,-608
15.580,-70,-253,-396
15.600,-103,-63,-493
15.620,-336,33,-403
15.640,32,-26,-280
15.660,-201,-45,-470
15.680,-130,-189,-760
15.700,-183,49,-721
15.720,-196,75,-907
15.740,-176,-44,-1193
15.760,-155,55,-1146
15.780,-377,-46,-1300
15.800,-34,121,-1451
15.820,-149,90,-1412
15.840,-159,13,-1639
15.860,-122,44,-1653
15.880,-270,164,-1568
15.900,-28,85,-1489
15.920,43,124,-1462
15.940,-178,121,-1090
15.960,-97,70,-1262
15.980,78,36,-1048
16.000,-125,108,-790
16.020,84,173,-579
16.040,113,202,-526
16.060,-32,124,-353
16.080,163,177,-366
16.100,53,-26,-271
16.120,115,41,-283
16.140,83,181,-454
16.160,167,118,-449
16.180,245,-190,-644
16.200,143,-13,-896
16.220,212,-88,-1020
16.240,162,-4,-1053
16.260,128,95,-1304
16.280,239,-54,-1298
16.300,89,-79,-1633
16.320,240,-38,-1413
16.340,128,-122,-1675
16.360,-21,-63,-1623
16.380,169,-268,-1574
16.400,437,-219,-1619
16.420,99,-238,-1382
16.440,31,-130,-1116
16.460,-60,-198,-967
16.480,-137,-122,-1035
16.500,0,-83,-803
16.520,-3,-169,-624
16.540,-125,0,-467
16.560,4,51,-513
16.580,-107,-162,-656
16.600,-143,164,-230
16.620,-81,-134,-563
16.640,-183,-125,-407
16.660,-125,-214,-720
16.680,-134,-58,-778
16.700,-283,14,-676
16.720,-180,-90,-893
16.740,-61,-28,-1083
16.760,-175,201,-1136
16.780,-160,-115,-1350
16.800,-98,41,-1605
16.820,-195,65,-1515
16.840,-86,74,-1652
16.860,-171,221,-1412
16.880,-135,37,-1676
16.900,-29,145,-1381
16.920,-164,280,-1387
16.940,-41,147,-1150
16.960,-36,129,-1084
16.980,-35,102,-1049
17.000,-14,106,-778
17.020,-113,301,-774
17.040,142,86,-538
17.060,87,277,-348
17.080,84,69,-431
17.100,125,259,-393
17.120,125,218,-257
17.140,80,105,-729
17.160,178,58,-449
17.180,63,237,-693
17.200,278,29,-667
17.220,205,7,-978
17.240,147,-73,-1088
17.260,123,-167,-1308
17.280,227,-123,-1293
17.300,175,-40,-1645
17.320,-7,-272,-1541
17.340,94,-45,-1418
17.360,144,-237,-1606
17.380,-47,-230,-1615
17.400,-108,-178,-1577
17.420,-63,-153,-1482
17.440,-46,56,-1290
17.460,131,-182,-1077
17.480,77,-252,-911
17.500,273,-190,-919
17.520,-59,-62,-662
17.540,-156,-26,-689
17.560,-320,-129,-474
17.580,-17,-89,-448
17.600,-94,-80,-367
17.620,-197,-181,-526
17.640,-48,27,-591
17.660,-196,-118,-476
17.680,-31,6,-691
17.700,-244,-51,-605
17.720,-291,-25,-1051
17.740,-201,-144,-1109
17.760,-176,120,-1201
17.780,-274,86,-1298
17.800,18,61,-1522
17.820,-167,-70,-1593
17.840,96,-77,-1462
17.860,-114,50,-1624
17.880,37,97,-1449
17.900,-69,107,-1299
17.920,-130,285,-1383
17.940,-73,127,-1227
17.960,7,19,-1240
17.980,-52,207,-1000
18.000,97,137,-747
18.020,7,144,-782
18.040,-2,43,-540
18.060,208,319,-476
18.080,-11,262,-350
18.100,26,152,-486
18.120,196,90,-549
18.140,44,165,-417
18.160,99,158,-486
18.180,179,36,-913
18.200,165,78,-859
18.220,138,5,-998
18.240,272,-56,-1036
18.260,17,2,-1089
18.280,150,26,-1525
18.300,141,-139,-1260
18.320,131,-71,-1440
18.340,225,-269,-1498
18.360,101,-216,-1594
18.380,81,-168,-1733
18.400,59,-167,-1579
18.420,213,-142,-1409
18.440,162,-49,-1101
18.460,-11,-241,-1222
18.480,-7,-106,-958
18.500,-2,-185,-821
18.520,-81,-74,-808
18.540,-61,-53,-606
18.560,-220,-139,-445
18.580,-94,-82,-516
18.600,64,-159,-350
18.620,-58,1,-440
18.640,-58,-14,-560
18.660,-164,9,-553
18.680,-103,-120,-605
18.700,-157,-55,-951
18.720,-226,54,-879
18.740,-224,104,-1034
18.760,-217,53,-1255
18.780,-233,108,-1354
18.800,-212,-112,-1463
18.820,-117,92,-1500
18.840,-365,223,-1452
18.860,-201,211,-1462
18.880,-192,111,-1652
18.900,-36,136,-1324
18.920,-117,289,-1322
18.940,6,66,-1132
18.960,11,213,-1042
18.980,44,60,-886
19.000,47,181,-702
19.020,68,220,-649
19.040,37,84,-570
19.060,43,230,-545
19.080,77,111,-463
19.100,168,307,-348
19.120,93,153,-550
19.140,301,69,-626
19.160,233,-156,-617
19.180,44,45,-626
19.200,227,69,-742
19.220,156,-25,-716
19.240,143,32,-953
19.260,193,-36,-1615
19.280,77,44,-1396
19.300,451,52,-1666
19.320,317,-53,-1506
19.340,218,-259,-1679
19.360,222,-56,-1539
19.380,109,-134,-1716
19.400,-159,-250,-1581
19.420,168,136,-1461
19.440,-42,-187,-1203
19.460,80,-110,-1041
19.480,120,74,-976
19.500,-3,-98,-850
19.520,-257,-96,-757
19.540,76,-121,-663
19.560,-158,-18,-344
19.580,6,-145,-593
19.600,-138,-41,-307
19.620,-77,-51,-360
19.640,-183,60,-289
19.660,-15,170,-573
19.680,-358,-30,-727
19.700,-200,-61,-848
19.720,-7,103,-978
19.740,82,-68,-959
19.760,55,53,-1471
19.780,-323,-89,-1358
19.800,-150,-151,-1393
19.820,-22,208,-1637
19.840,168,198,-1568
19.860,31,192,-1418
19.880,-248,47,-1705
19.900,-72,169,-1481
19.920,-7,238,-1413
19.940,-66,-117,-1288
19.960,-96,58,-1062
19.980,92,218,-913
20.000,-94,126,-780
20.020,204,233,-811
20.040,130,180,-672
20.060,108,222,-566
20.080,-50,165,-495
20.100,-26,45,-456
20.120,103,168,-428
20.140,156,63,-425
20.160,162,145,-375
20.180,102,-84,-337
20.200,218,64,-562
20.220,-30,-37,-616
20.240,225,-44,-702
20.260,78,-100,-839
20.280,172,40,-993
20.300,317,79,-1052
20.320,241,-178,-1280
20.340,248,22,-1343
20.360,328,-135,-1363
20.380,121,36,-1440
20.400,200,67,-1559
20.420,90,-137,-1534
20.440,204,20,-1666
20.460,-93,-185,-1595
20.480,-20,-326,-1476
20.500,-143,-104,-1490
20.520,52,-13,-1393
20.540,-184,-150,-1335
20.560,-127,-186,-1078
20.580,3,-212,-1035
20.600,-42,-131,-609
20.620,-295,-9,-804
20.640,89,-275,-963
20.660,-72,83,-690
20.680,-94,-207,-448
20.700,-125,-50,-364
20.720,-48,-80,-600
20.740,-215,-115,-539
20.760,-92,-232,-478
20.780,81,-159,-569
20.800,-155,-89,-597
20.820,-200,39,-527
20.840,-69,-53,-842
20.860,-158,39,-893
20.880,-247,204,-1119
20.900,-185,80,-1074
20.920,-372,47,-1250
20.940,-108,-31,-1365
20.960,-23,46,-1468
20.980,-93,36,-1563
21.000,-139,125,-1464
21.020,-236,172,-1667
21.040,-37,185,-1571
21.060,-76,-79,-1718
21.080,-184,177,-1468
21.100,-115,135,-1373
21.120,-212,207,-1230
21.140,64,-18,-1232
21.160,95,285,-1124
21.180,-28,334,-1077
21.200,11,167,-1017
21.220,-62,243,-738
21.240,228,63,-558
21.260,171,319,-602
21.280,-78,108,-481
21.300,156,233,-333
21.320,57,21,-211
21.340,99,202,-524
21.360,143,90,-257
21.380,253,-1,-494
21.400,129,58,-565
21.420,53,292,-467
21.440,65,-35,-821
21.460,148,128,-810
21.480,-17,-37,-1082
21.500,2,-26,-1097
21.520,66,-114,-1190
21.540,128,-1,-1462
21.560,254,-187,-1171
21.580,119,82,-1673
21.600,69,12,-1505
21.620,258,-207,-1459
21.640,-28,-192,-1553
21.660,62,-265,-1698
21.680,74,-216,-1442
21.700,214,-102,-1397
21.720,18,-153,-1411
21.740,-140,-185,-1314
21.760,-67,-342,-1000
21.780,110,-322,-1009
21.800,25,-95,-856
21.820,30,-305,-700
21.840,91,-165,-586
21.860,-162,-7,-517
21.880,90,-168,-542
21.900,-142,66,-362
21.920,-63,-319,-601
21.940,78,-10,-524
21.960,-122,-150,-630
21.980,55,-10,-423
22.000,-86,-170,-511
22.020,-51,-108,-577
22.040,-2,-10,-820
22.060,-192,-61,-989
22.080,-157,-25,-1006
22.100,-66,164,-957
22.120,-136,149,-1414
22.140,-211,-29,-1280
22.160,-158,126,-1350
22.180,-142,87,-1504
22.200,49,143,-1654
22.220,-164,46,-1457
22.240,-187,179,-1629
22.260,-139,89,-1499
22.280,-150,89,-1482
22.300,-136,85,-1290
22.320,-259,24,-1102
22.340,-72,197,-1064
