t,x,y,z
12.300,209,-108,-1235
12.350,15,-59,-1923
12.400,-49,-73,-2817
12.450,-345,-135,-1781
12.500,-41,30,-1148
12.550,163,42,-970
12.600,9,95,-990
12.650,-154,141,-958
12.700,-260,-40,-953
12.750,-27,120,-936
12.800,15,258,-2859
12.850,-2,125,-1750
12.900,149,219,-1127
12.950,209,85,-1106
13.000,86,209,-921
13.050,45,-278,-1075
13.100,0,-63,-848
13.150,113,-61,-1918
13.200,-119,-121,-2847
13.250,262,-133,-1886
13.300,42,-63,-1203
13.350,37,-69,-1134
13.400,-68,49,-1034
13.450,-23,120,-1088
13.500,-276,-169,-1013
13.550,85,193,-861
13.600,186,102,-894
13.650,-115,161,-1785
13.700,61,26,-1191
13.750,106,166,-1038
13.800,153,-66,-975
13.850,-8,0,-1023
13.900,102,-131,-1197
13.950,5,11,-1666
14.000,-32,-20,-2724
14.050,1,-248,-1792
14.100,-168,47,-1000
14.150,-31,-292,-939
14.200,-30,-128,-903
14.250,-85,20,-1071
14.300,-173,27,-691
14.350,-18,113,-1065
14.400,-62,45,-1089
14.450,126,65,-1738
14.500,-45,164,-1082
14.550,159,28,-1090
14.600,221,-44,-1015
14.650,4,-18,-1041
14.700,99,-36,-1148
14.750,-103,-49,-1732
14.800,70,-215,-2739
14.850,0,-64,-1781
14.900,-103,-49,-986
14.950,-143,-182,-1012
15.000,-80,-184,-1068
15.050,-33,23,-991
15.100,-197,161,-825
15.150,-58,19,-1116
15.200,89,110,-1079
15.250,160,169,-1764
15.300,-105,60,-1017
15.350,-30,131,-859
15.400,203,-72,-1071
15.450,187,61,-879
15.500,191,-81,-1120
15.550,-147,-14,-1596
15.600,-46,-148,-2735
15.650,-1,-229,-1896
15.700,-180,131,-1151
15.750,-7,154,-812
15.800,43,163,-1124
15.850,-127,-35,-1029
15.900,191,-97,-944
15.950,-162,226,-870
16.000,-51,307,-993
16.050,169,124,-1880
16.100,33,59,-1017
16.150,105,274,-1021
16.200,53,-72,-1078
16.250,-52,-137,-911
16.300,77,-88,-1044
16.350,145,-31,-1747
16.400,-56,-126,-2878
16.450,-48,-174,-1861
16.500,-88,-92,-1106
16.550,-142,93,-1036
16.600,-201,19,-1109
16.650,-200,47,-1167
16.700,-393,100,-897
16.750,-205,3,-942
16.800,-199,13,-1120
16.850,18,-105,-1735
16.900,56,101,-1112
16.950,-120,23,-1136
17.000,101,-85,-1032
17.050,71,39,-925
17.100,-30,-72,-933
17.150,88,-165,-1836
17.200,-35,-6,-2797
17.250,-1,129,-1962
17.300,-172,-244,-1238
17.350,-7,-9,-838
17.400,-297,-88,-856
17.450,11,127,-913
17.500,-67,70,-997
17.550,46,76,-968
17.600,145,-13,-2875
17.650,95,66,-1840
17.700,281,112,-1121
17.750,202,290,-1113
17.800,33,12,-1064
17.850,310,14,-1041
17.900,120,-150,-1140
17.950,49,146,-2049
18.000,-87,-2,-678
18.050,-10,-115,-1044
18.100,-231,-224,-1140
18.150,-292,-91,-1287
18.200,-159,-219,-960
18.250,48,99,-606
18.300,124,78,-749
18.350,273,69,-1249
18.400,114,239,-1214
18.450,76,80,-1121
18.500,201,-80,-908
18.550,93,148,-530
18.600,-265,-101,-840
18.650,-217,-225,-1183
18.700,-214,53,-1249
18.750,-113,-57,-1248
18.800,-78,148,-764
18.850,258,127,-682
18.900,-1,190,-1017
18.950,367,94,-1170
19.000,74,71,-1413
19.050,259,76,-1256
19.100,-152,-40,-862
19.150,-186,-50,-701
19.200,-158,-212,-938
19.250,-263,-316,-1140
19.300,-164,-286,-1304
19.350,-19,-17,-971
19.400,-54,44,-912
19.450,-3,-67,-779
19.500,202,208,-802
19.550,232,54,-1189
19.600,185,285,-1109
19.650,220,-82,-1114
19.700,33,-124,-702
19.750,-31,-39,-679
19.800,-274,-242,-971
19.850,-87,8,-1160
19.900,-157,-32,-1208
19.950,17,64,-1175
20.000,95,101,-777
20.050,165,157,-724
20.100,24,170,-943
20.150,215,-13,-1234
20.200,258,109,-1229
20.250,65,-54,-929
20.300,-49,-53,-386
20.350,-52,-121,-902
20.400,-189,-84,-1109
20.450,-243,-366,-1241
20.500,-238,-14,-1111
20.550,-104,97,-917
20.600,7,52,-781
20.650,263,228,-866
20.700,289,87,-1228
20.750,337,8,-1191
20.800,189,164,-1169
20.850,190,26,-845
20.900,-16,21,-725
20.950,-44,6,-801
21.000,-165,-211,-1145
21.050,-189,-164,-1406
21.100,-163,-46,-1157
21.150,10,-159,-724
21.200,38,20,-718
21.250,200,235,-864
21.300,229,-1,-1136
21.350,200,81,-1231
21.400,330,159,-1234
21.450,201,-62,-834
21.500,-126,-59,-625
21.550,-151,-173,-877
21.600,-256,-59,-1239
21.650,-222,-138,-1392
21.700,-163,-192,-1079
21.750,20,9,-642
21.800,-1,168,-638
21.850,120,131,-811
21.900,224,182,-1078
21.950,224,-56,-1384
22.000,212,23,-1189
22.050,-176,-16,-618
22.100,-218,-335,-646
22.150,-236,-186,-970
22.200,-309,-107,-1154
22.250,-160,-158,-1195
22.300,-129,31,-1135
22.350,58,132,-614
22.400,109,170,-767
22.450,277,236,-871
22.500,182,26,-1276
22.550,169,21,-1221
22.600,200,56,-892
22.650,32,-163,-778
22.700,-153,-64,-638
22.750,-182,-59,-1100
22.800,-231,5,-1245
22.850,-78,-273,-1425
22.900,-179,93,-801
22.950,-40,-21,-803
23.000,41,192,-783
23.050,387,231,-1126
23.100,242,123,-1226
23.150,263,44,-1146
23.200,137,-12,-897
23.250,33,-116,-757
23.300,-15,-141,-838
23.350,-161,-305,-1091
23.400,-350,-175,-1489
23.450,-235,19,-1223
23.500,-187,185,-945
23.550,194,42,-826
23.600,332,104,-735
23.650,329,30,-1127
23.700,157,187,-1320
23.750,32,66,-1097
23.800,26,32,-899
23.850,-66,-66,-665
23.900,-35,-57,-761
23.950,-143,-142,-1283
24.000,105,171,-977
24.050,-24,-3,-881
24.100,29,-96,-1016
24.150,-74,-19,-1087
24.200,-85,146,-897
24.250,-157,-95,-1043
24.300,-37,-135,-912
24.350,-157,69,-931
24.400,-35,-63,-993
24.450,15,-204,-1122
24.500,53,-10,-1040
24.550,-96,-68,-1074
24.600,274,-122,-849
24.650,48,22,-980
24.700,-36,158,-949
24.750,-2,-11,-980
24.800,-111,-30,-1060
24.850,61,60,-1181
24.900,-21,97,-1126
24.950,-115,99,-1012
25.000,-43,-118,-983
25.050,-54,22,-958
25.100,70,-31,-1051
25.150,4,-9,-982
25.200,-51,-22,-1056
25.250,-57,16,-886
25.300,-52,58,-965
25.350,12,67,-1054
25.400,56,30,-1341
25.450,36,59,-808
25.500,-103,10,-965
25.550,-94,118,-955
25.600,-77,-116,-1040
25.650,233,212,-1242
25.700,-177,66,-1010
25.750,-61,60,-990
25.800,29,27,-1106
25.850,130,-44,-888
25.900,69,5,-986
25.950,-4,-180,-1031
26.000,43,-157,-1145
26.050,107,80,-1151
26.100,46,-4,-903
26.150,-31,-21,-1073
26.200,18,-12,-1064
26.250,-33,-73,-938
26.300,-101,-152,-1094
26.350,107,-49,-936
26.400,73,-49,-925
26.450,50,-4,-1069
26.500,-5,-126,-1027
26.550,-57,44,-966
26.600,-63,86,-882
26.650,7,-72,-950
26.700,-240,-57,-942
26.750,198,-72,-849
26.800,230,186,-1232
26.850,109,19,-899
26.900,-17,-60,-1022
26.950,149,83,-1028
27.000,38,86,-943
27.050,-4,-65,-1073
27.100,-43,-54,-1156
27.150,-140,87,-1110
27.200,-129,-4,-856
27.250,125,-41,-1102
27.300,-53,-90,-1054
27.350,48,-105,-1077
27.400,-25,-2,-1076
27.450,-78,-112,-1074
27.500,52,-24,-1308
27.550,61,-7,-1086
27.600,-25,-301,-1164
27.650,116,212,-783
27.700,-73,4,-922
27.750,-122,174,-1072
27.800,35,-114,-963
27.850,-1,108,-1115
27.900,-1,181,-1119
27.950,35,44,-1049
28.000,-27,141,-886
28.050,57,27,-1113
28.100,9,179,-895
28.150,-136,-207,-1066
28.200,17,-55,-1031
28.250,34,90,-979
28.300,125,-142,-953
28.350,43,-149,-875
28.400,-160,-145,-733
28.450,130,38,-864
28.500,115,-113,-951
28.550,140,-16,-993
28.600,-46,74,-1055
28.650,-59,-123,-1093
28.700,22,47,-1039
28.750,-105,34,-964
28.800,128,-50,-1041
28.850,52,153,-1005
28.900,-8,-94,-1038
28.950,95,86,-888
29.000,-165,84,-1093
29.050,60,-238,-1010
29.100,-89,128,-988
29.150,131,-44,-802
29.200,-45,191,-1049
29.250,-99,91,-1040
29.300,-6,-135,-1035
29.350,12,-71,-960
29.400,-232,90,-1041
29.450,149,-35,-1066
29.500,-45,28,-940
29.550,-47,-80,-956
29.600,84,-176,-1106
29.650,-68,173,-875
29.700,81,50,-1113
29.750,114,-45,-1080
29.800,196,-146,-860
29.850,21,-93,-982
29.900,-85,19,-1065
29.950,-120,269,-1051
